name;description;element_type;country;lat;long;exact
TEXT;TEXT;TEXT;TEXT;REAL;REAL;INT
[];[];[];[];[deg];[deg];[]
Aberdeen;;{C};Grossbritannien;57.149717;-2.094278;2
Achim ;;{C};Deutschland;53.0092;9.0510401;2
Ajdovscina;;{C};Slowenien;45.8869025;13.909914;2
AlcazarDeSanJuan;;{C};Spanien;39.3900748;-3.2100984;2
Aleksandrovka;;{C};Ukraine;47.6914432;31.2759129;2
Algete;;{C};Spanien;40.594137;-3.505781;2
Almendralejo;;{C};Spanien;38.694414;-6.409627;2
Alphen;;{C};Holland;51.4823836;4.9533065;2
Alrewas;;{C};Grossbritannien;52.73869018;-1.77561329;1
Ananiev;;{C};Ukraine;47.714758;29.9913264;2
AnnaPaulowna;;{C};Holland;52.8616158;4.8238091;2
ArieuxEnGohelle;;{C};Frankreich;50.36334;2.869612;2
Arnedo;;{C};Spanien;42.2256792;-2.1020752;2
Auros;;{C};Frankreich;44.495849;-0.146575;2
AuversLeHanom;;{C};Frankreich;47.902617;-0.353136;2
Avion;;{C};Frankreich;50.412326;2.824277;2
Avonbridge;;{C};Grossbritannien;55.919744;-3.740241;2
Avonmouth;;{C};Grossbritannien;51.5306638;-2.654260229;1
Aylesbury;;{C};Grossbritannien;51.86022749;-0.962549867;1
Baldenheim;;{C};Frankreich;48.237634;7.539465;2
Ballylumford;;{C};Grossbritannien;54.8460872;-5.7891679;2
Baneras;;{C};Spanien;41.2794548;1.5808175;2
Bar;Vinnytsia region;{C};Ukraine;49.0768482;27.6826121;2
Barbaira;;{C};Frankreich;43.185493;2.510458;2
Bata;;{C};Ungarn;46.126703;18.7741311;2
Bathgate;;{C};Grossbritannien;55.9024;-3.643118;2
Baumgarten; an der March;{C};Oesterreich;48.30886;16.86975;2
Berdichev;;{C};Ukraine;49.9106591;28.5900313;2
Beregdaroc;;{C};Ungarn;48.1985108;22.5320069;2
Beregovaya;;{C};Russland;47.215356;39.7212251;2
Berneau;;{C};Belgien;50.7427406;5.7306194;2
Beverwijk;;{C};Holland;52.4869842;4.6574468;2
Beynes;;{C};Frankreich;;;5
