name;description;element_type;country;lat;long;exact;source;license
TEXT;TEXT;TEXT;TEXT;REAL;REAL;INT;TEXT;TEXT
[str];[str];[str];[str];[double];[double];1=exact,2=city,3=region,4=country;[str];[str]
7Fields;Storage Capacity connected to Germany and Austria;{S};Oesterreich;47.962006;13.356863;1;;
Aberdeen;;{P};Grossbritannien;57.13600455;-2.379727732;1;Shapefile;
Achim ;;{C};Deutschland;53.0092;9.0510401;2;;
AdriaticRovigo ;;{L};Italien;45.091667;12.586111;2;;
Aigelsbrunn;;{S};Oesterreich;47.981978;13.312084;1;;
Ajdovscina;;{C};Slowenien;45.8869025;13.909914;2;;
Alborg;;{P};Daenemark;57.036;9.927;2;;
AlcazarDeSanJuan;;{C};Spanien;39.3900748;-3.2100984;2;;
Aldbrough_1;;{S};Grossbritanien;53.813895;-0.087273;1;;
Aldbrough_2;;{S};Grossbritanien;53.813895;-0.087273;2;;
Aleksandrovka;;{C};Ukraine;47.6914432;31.2759129;2;;
Alessandria;;{P};Italien;44.90008;8.60944;2;;
Alexandroupolis;;{L};Griechenland;40.9399278;25.9940986;2;;
Alfonsine;;{S};Italien;;;4;;
Algete;;{C};Spanien;40.594137;-3.505781;2;;
Alkmaar;Grijpskerk, Norg (NAM) and Alkmaar (TAQA) = Groningen System - No longer offering capacity to be considered as a production facility;{S};Holland;52.650953;4.716946;1;;
Allmenhausen;;{S};Deutschland;51.219587;10.702464;1;;
Almendralejo;;{P};Spanien;38.711202;-6.382539;1;;
Almeria;;{P};Spanien;36.8348;-2.4636;2;;
Alphen;;{C};Holland;51.4823836;4.9533065;2;;
Alrewas;;{C};Grossbritannien;52.73869018;-1.77561329;1;;
AlsaceSud;;{S};Frankreich;NaN;NaN;2;;
Altamura;;{P};Italien;40.827134;16.553126;2;;
Alveringem;;{I};Belgien;51.0123224;2.7095311;3;;
Ampeleia;;{P};Griechenland;39.56;20.83;4;;
Ananiev;;{C};Ukraine;47.714758;29.9913264;2;;
Angouleme;;{P};Frankreich;45.646;0.149;2;;
AnnaPaulowna;Anna Paulowna;{P};Holland;52.857;4.839;2;;
Annecy;;{P};Frankreich;45.903;6.126;2;;
Arad;;{P};Rumaenien;46.1817;21.31056;2;;
ArieuxEnGohelle;;{C};Frankreich;50.36334;2.869612;2;;
Arnedo;;{C};Spanien;42.2256792;-2.1020752;2;;
Arnoldstein;Schiebestation;{P};Oesterreich;46.5499903;13.7057619;2;;
Ascol;;{P};Grossbritannien;53.27269569;-2.443681557;1;Shapefile;
Atwick;;{S};Grossbritanien;53.946533;-0.207479;1;;
AuAmRhein;Au am Rhein;{P};Deutschland;48.953;8.24;2;;
Auchenblae;;{P};Grossbritannien;56.93445114;-2.421708547;1;Shapefile;
Audley_1;;{P};Grossbritannien;53.05773383;-2.355566146;1;Shapefile;
Audley_2;;{P};Grossbritannien;53.05784313;-2.356635465;1;Shapefile;
Auros;;{C};Frankreich;44.495849;-0.146575;2;;
AuversLeHanom;;{C};Frankreich;47.902617;-0.353136;2;;
Avilles;;{P};Spanien;43.557;-5.924;2;;
Avion;;{C};Frankreich;50.412326;2.824277;2;;
Avonbridge;;{C};Grossbritannien;55.919744;-3.740241;2;;
Avonmouth;;{C};Grossbritannien;51.5306638;-2.654260229;1;;
Aylesbury;;{C};Grossbritannien;51.86022749;-0.962549867;1;;
Backbarrow;;{P};Grossbritannien;54.24208053;-2.982653303;1;Shapefile;
BackiBreg;;{I};Serbien;45.9166015;18.9673241;3;;
Bacton;;{P};Grossbritannien;52.8506;1.466;2;;
Badajoz;;{P};Spanien;38.87665;-6.9714;2;;
BadLauchstaedt;;{S};Deutschland;51.430367;11.833526;1;;
BadLeonfelden;Bad Leonfelden;{P};Oesterreich;48.521;14.292;2;;
BadSalzuflen;Bad Salzuflen;{P};Deutschland;52.068;8.775;2;;
BagnoloMella;;{S};Italien;45.423202;10.138115;1;;
Balanceanca;;{S};Rumaenien;44.389969;26.310924;1;;
Balassagyarmat;;{I};Ukraine;48.0711866;19.2937136;3;;
Baldenheim;;{C};Frankreich;48.237634;7.539465;2;;
Balerno;;{P};Grossbritannien;55.85497958;-3.360578891;1;Shapefile;
Balgzand;;{E};Holland;52.8982381;4.845275;2;;
Balhalgardy;;{P};Grossbritannien;57.30695383;-2.410211415;1;Shapefile;
Ballylumford;;{P};Grossbritannien;54.84019;-5.788932;1;;
BanatskiDvor;;{S};Serbien;45.537223;20.47481;1;;
Baneras;;{C};Spanien;41.2794548;1.5808175;2;;
