name;description;element_type;country;lat;long;exact;licence;name;description;element_type;country;lat;long;exact;licence;start;end;source;pipeline
TEXT;TEXT;TEXT;TEXT;REAL;REAL;INT;;TEXT;TEXT;TEXT;TEXT;REAL;REAL;INT;;[yyyy];[yyyy];[];[]
[str];;[char];[strg];[double];[double];[int];[str];[str];;[char];[strg];[double];[double];[int];[str];[int];[int];[string];[strg]
Almeria;;{I};Spanien;36.834047;-2.4637136;3;;;;;;;;;;;;;
Alveringem;;{I};Belgien;51.0123224;2.7095311;3;;;;;;;;;;;;;Alveringem-Maldegem pipeline
Arnoldstein;;{I};Oesterreich;46.5499903;13.7057619;3;;;;;;;;;;;;;medgaz
BackiBreg;;{I};Serbien;45.9166015;18.9673241;3;;;;;;;;;;;;;
Badajoz;;{I};Spanien;38.8794495;-6.9706535;3;;;;;;;;;;;;;
Balassagyarmat;;{I};Ukraine;48.0711866;19.2937136;3;;;;;;;;;;;;;Slovak-Hungarian Gas Interconnector
Balgzand;;{I};Holland;52.8982381;4.845275;3;;;;;;;;;;;;;
Ballylumford;;{I};Grossbritanien;54.8460872;-5.7891679;3;;;;;;;;;;;;;
Basel;;{I};Oesterreich;47.5595986;7.5885761;3;;;;;;;;;;;;;
Baumgarten;;{I};Oesterreich;48.2091315;14.7457884;3;;;;;;;;;;;;;WAG
Beregdaroc;;{I};Ungarn;48.1971868;22.6370954;3;;;;;;;;;;;;;
Bibesti;;{I};Rumaenien;44.7815366;23.4907078;3;;;;;;;;;;;;;
Biriatou;;{I};Frankreich;43.333204;-1.743022;3;;;;;;;;;;;;;
Bochholtz;;{I};Holland;50.8180412;6.0088551;3;;;;;;;;;;;;;TENP
Brandov;;{I};Tschechien;50.6320103;13.390731;3;;;;;;;;;;;;;
BrighthouseBay;;{I};Grossbritanien;54.78735;-4.12912;3;;;;;;;;;;;;;
Budince;;{I};Slowakei;48.5448153;22.1227244;3;;;;;;;;;;;;;Vojany-U?horod pipeline
