name;description;element_type;country;lat;long;exact;start;end;source;storage [Mt LNG];Regasification [M m^3/a]
TEXT;TEXT;TEXT;TEXT;REAL;REAL;INT;INT;INT;TEXT;INT;REAL
[];[];[];[];[deg];[deg];[boolean];[YYYY];[yyyy];[];[#];[#]
AdriaticRovigo ;;{L};Italien;45.091667;12.586111;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;500,000;8.1
Alexandroupolis;;{L};Griechenland;40.9399278;25.9940986;2;planed;;https://www.sourcewatch.org/index.php;;
Barcelona;;{L};Spanien;41.3394;2.1583;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;760,000;17.66
Bilbao;;{L};Spanien;43.3612;-3.09473;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;450,000;9.4
Brunnsviksholme;;{L};Schweden;58.922139;17.976153;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;20,000;0.5
Cartagena;;{L};Spanien;37.57457;-0.9595;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;587,000;10.5
Dunkerque;;{L};Frankreich;51.03361;2.19653;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;570,000;13.8
ElFerrol;;{L};Spanien;43.489646;-8.2193451;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;;
FosCavaou;;{L};Frankreich;43.41963;4.90102;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;330,000;11.38
FosTonkin ;;{L};Frankreich;43.454;4.85167;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;150,000;5.52
GateRotterdam;Rotterdam;{L};Holland;51.971111;4.068889;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;540,000;12.42
Gijon;Musel;{L};Spanien;43.5650815;-5.7021043;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;;
Goteborg;;{L};Schweden;57.70887;11.97456;2;planed;;;;
Huelva;;{L};Spanien;37.17355;-6.911;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;619,500;12.42
Montoir;;{L};Frankreich;47.30296;-2.14278;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;360,000;17.25
Muuga;Tallinn;{L};Estland;59.50601;25.0045;2;unknown;;https://www.sourcewatch.org/index.php;3.6 mtpa;0.52 bcfd
Nynashamm;;{L};Schweden;58.902926;17.9465288;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;;
Padalski;;{L};Estland;59.38445;24.07494;2;2018;;https://www.sourcewatch.org/index.php;1.8 mtpa;0.26 bcfd
Panigaglia;;{L};Italien;44.07428;9.83087;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;100,000;3.864
Pori;;{L};Finnland;61.63817;21.39881;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;28,500;0.2
PortoEmpedocle;;{L};Italien;37.2829;13.53774;2;planed;;https://www.sourcewatch.org/index.php;6 mtpa;0.86 bcfd
PortoLevante;;{L};Italien;45.0488357;12.3639697;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;;
Reganosa ;;{L};Spanien;43.4613;-8.2395;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;300,000;3.9
Revithoussa;;{L};Griechenland;37.96;23.4023;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;130,000;7.59
Riga;;{L};Lettland;56.94888;24.106389;2;planed;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;;
Sagonte;;{L};Spanien;39.6329;-0.2152;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;600,000;9.7
Sines ;;{L};Portugal;37.9419;-8.8435;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;390,000;8.28
Swinoujscie ;;{L};Polen;53.909167;14.294722;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;320,000;5
Toscana ;;{L};Italien;43.644444;9.988889;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;137,000;4.14
Trieste;;{L};Slowenia;45.61239;13.79281;2;planed;;https://www.sourcewatch.org/index.php/Zaule_LNG_Terminal;5.4 mtpa;0.77 bcfd
Zeebrugge;;{L};Belgien;51.353;3.22241;2;;;https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/;380,000;12.42
