name;description;country;start_year;end_year;source;license;operatur;pipes_label;gas_type;gas_capacity;max_operating_pressure;total_power;turbinen_type_1;turbine_power_1;turbinen_type_2;turbine_power_2;turbinen_type_3;turbine_power_3;turbinen_type_4;turbine_power_4;turbinen_type_5;turbine_power_5;turbinen_type_6;turbine_power_6
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;TEXT;TEXT;REAL;INT;REAL;TEXT;REAL;TEXT;REAL;TEXT;REAL;TEXT;REAL;TEXT;REAL;TEXT;REAL
[];[];[];[YYYY];[YYYY];[];[];[];[];[];[Mm^3/h];[bar];[MW];[];[MW];[];[MW];[];[MW];[];[MW];[];[MW];[];[MW]
HassiRMel;;Algerien;;;;;;;H;;;;;;;;;;;;;;;
Kouchdiet;;Algerien;;;;;;Galsi;H;;;;;;;;;;;;;;;
Berneau;;Belgien;;;;;;;H;;;;;;;;;;;;;;;
Weeide;;Belgien;;;;;;;L;;;;;;;;;;;;;;;
Winksele;;Belgien;;;;;;;L;;;;;;;;;;;;;;;
Zelzate;;Belgien;;;;;;;H;;;;;;;;;;;;;;;
Petrich;;Bulagrien;;;;;;;H;;;;;;;;;;;;;;;
Ihtiman;;Bulgarien;;;;;;;H;;;;;;;;;;;;;;;
Kardam;;Bulgarien;;;;;;;H;;;;;;;;;;;;;;;
Lozenets;;Bulgarien;;;;;;;H;;;;;;;;;;;;;;;
PolskiSenovets;;Bulgarien;;;;;;;H;;;;;;;;;;;;;;;
Provadiya;;Bulgarien;;;;;;;H;;;;;;;;;;;;;;;
Strandja;;Bulgarien;;;;;;;H;;;;;;;;;;;;;;;
ValchiDol;;Bulgarien;;;;;;;H;;;;;;;;;;;;;;;
Egtved;;Daenemark;;;;;;;H;;;;;;;;;;;;;;;
Achim ;;Deutschland;;;;;;;H;;;;;;;;;;;;;;;
Bobbau;KeineFernleitung;Deutschland;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Bobbau;;ONTRAS;;H;0.8;;20;gas;10;gas;10;;;;;;;;
Brammer;Erdgasspeicher Wolfersberg;Deutschland;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Brammer;;RWE DEA AG;;H;;70;15;electric;;electric;;electric;;;;;;;
Bunde;;Deutschland;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Bunde;;GASCADE;;H;1.2;90;;electric;6.4;electric;6.4;;;;;;;;
Eischleben;;Deutschland;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Eischleben;;GASCADE;Stegal;H;1.9;90;;gas SGT700;30;gas SGT700;30;Gas FT8;25.4;;;;;;
Ellund;;Deutschland;;;;;;;H;;;;;;;;;;;;;;;
Elten;;Deutschland;;;;;;;L;;;;;;;;;;;;;;;
Embsen;;Deutschland;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Embsen;;GasUnie;;H;0.65;100;;;;;;;;;;;;;
Gernsheim;;Deutschland;;;http://mysolar.cat.com/cda/files/870985/7/Solar_Turbines_5000_Gas_Compressor_News_Rel_Sent.pdf;;GASCADE,GRTgaz;MEGAL,MIDAL;H;;;58;gas;12.5;gas;12.5;gas;12.5;gas;12.5;gas;8;;
Haiming ;;Deutschland;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Haiming;;WINGAS;;H;0.34;;20;gas THM1304;;electric;;;;;;;;;
Herbstein;;Deutschland;;;http://www.friedrich-vorwerk.de/en/news/projects/open-grid-europe-gmbh-construction-of-compressor-station-herbstein.html;;OpenGridEurop;;H;;;39;gas;13;gas;13;gas;13;;;;;;
Hespenbusch;;Deutschland;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Hespenbusch;;EXXON;;S;0.23;;5.5;electric;2.75;electric;2.75;;;;;;;;
Huegelheim;;Deutschland;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Huegelheim;;OpenGridEurop;TENP;H;;;;;;;;;;;;;;;
Krummhoern;;Deutschland;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Krummhoern;;OpenGridEurop;;H;;100;;electric;13;electric;13;gas  ;13;gas  ;;;;;
Lippe;;Deutschland;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Lippe;;GASCADE;;H;1.15;100;40.8;gas SGT-400;12.9;gas SGT-400;12.9;gas SGT-400;15;;;;;;
