Name;Element_Type;Gas_Type;Start;Ende;source;licence;direction_both;length;diameter;pressure_bar;max_discharge;number_compressor_stations;commentary
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;TEXT;TEXT;TEXT;REAL;INT;TEXT
[str];[str];[];[int];[int];[str];[str];[boolean];[double];[double];[str];[str];[int];[str]
AlcazarDeSanJuan;{P};H;;;https://theodora.com/pipelines/france_and_belgium_pipelines.html;;;;;;;;
AlcazarDeSanJuan_Chinchilla;{P};H;;;E118;;;;;;;;
AlcazarDeSanJuan_Ibiza;{P};H;;;https://theodora.com/pipelines/france_and_belgium_pipelines.html;;;;;;;;
AlcazarDeSanJuan_Madrid;{P};H;;;Extra bei Hand;;;;;;;;
Alessandria_Cortemaggiore;{P};H;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;;;;914.4;75;;;
Almendralejo_Badajoz;{P};H;;;http://www.emplpipeline.com/en/the-gas-pipeline/,Extra bei Hand;;;;;;;;
Almendralejo_Valladolid;{P};H;;;https://theodora.com/pipelines/france_and_belgium_pipelines.html;;;;;;;;
Almendralejo_Zamora;{P};H;;;"http://www.emplpipeline.com/en/the-gas-pipeline/,Extra bei Hand
";;;;;;;;
Altamura_Candela;{P};H;;;Extra;;;;1219;75;;;
Altamura_Latiano;{P};H;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;;;;508;75;;;
Altamura_MonteAlpi;{P};H;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;;;;508;75;;;
Altamura_Palagiano;{P};H;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;;;;1219;75;;;
Angouleme_Roussines;{P};H;;;Extra;;;;;;;;
Arad_Szeged;{P};H;;;https://en.wikipedia.org/wiki/Arad%E2%80%93Szeged_pipeline;;;109;700;;4.4;;
Arad_Szeged;{P};H;;;;;;;;;;;
Arnoldstein_Tarvisio_Extra;{P};H;;;Extra;;;;;;;;
ArtereDeLAdour;{P};H;;;;;;;;;;;
Badajoz_Leiria;{P};H;;;http://www.emplpipeline.com/en/the-gas-pipeline/,Extra bei Hand;;;;;;;;
BBL;{P};H;2006;;https://en.wikipedia.org/wiki/BBL_Pipeline;;1;235;914;;16;1;
Benevento_Biccari;{P};H;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;;;;609;64;;;
Bernalda_Grumento;{P};H;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;;;;1066.8;75;;;
Berneau_Eynatten;{P};H;;;https://www.fluxys.com/belgium/en/about%20fluxys/infrastructure/network/network;;;;;;;;
Beziers_Lacq;{P};H;;;Extra;;;;;;;;
BGTP;{P};H;;;Belfast Gas Transmission Pipeline;;;35;600;75;;;
Biccari_Candela;{P};H;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;;;;1219;75;;;
Bordano_MoggioUdinesse_1;{P};H;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;;;;1219.2;75;;;
Bordano_MoggioUdinesse_2;{P};H;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;;;;1066.8;70;;;
Bosentino_Trento_1;{P};H;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;;;;406.4;70;;;
Bosentino_Trento_2;{P};H;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;;;;254;64;;;
Bourbonne_Lyon;{P};H;;;E25;;;;;;;;
